id,name,speech
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
29,WARREN HARDING,STATE OF THE UNION
29,WARREN HARDING,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
35,JOHN F. KENNEDY,STATE OF THE UNION
35,JOHN F. KENNEDY,STATE OF THE UNION
35,JOHN F. KENNEDY,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
37,RICHARD NIXON,STATE OF THE UNION
37,RICHARD NIXON,STATE OF THE UNION
37,RICHARD NIXON,STATE OF THE UNION
37,RICHARD NIXON,STATE OF THE UNION
37,RICHARD NIXON,STATE OF THE UNION
38,GERALD R. FORD,STATE OF THE UNION
38,GERALD R. FORD,STATE OF THE UNION
38,GERALD R. FORD,STATE OF THE UNION
39,JIMMY CARTER,STATE OF THE UNION
39,JIMMY CARTER,STATE OF THE UNION
39,JIMMY CARTER,STATE OF THE UNION
39,JIMMY CARTER,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
40,RONALD REAGAN,STATE OF THE UNION
41,GEORGE H.W. BUSH,STATE OF THE UNION
41,GEORGE H.W. BUSH,STATE OF THE UNION
41,GEORGE H.W. BUSH,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
42,WILLIAM J. CLINTON,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
43,GEORGE W. BUSH,STATE OF THE UNION
